2016-06-03 10:42:39,083 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:42:39,084 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:42:39,094 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:42:39,101 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:42:44,467 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.babanomania.techprimer:JSPDemo:0.0.1-SNAPSHOT @ /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/pom.xml.
2016-06-03 10:42:45,029 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:42:45,031 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-03 10:42:45,033 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:42:45,034 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:42:45,034 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:42:45,035 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:42:45,039 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:11,198 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.babanomania.techprimer:JSPDemo:0.0.1-SNAPSHOT @ /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/pom.xml.
2016-06-03 10:44:11,812 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:11,816 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-03 10:44:11,819 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:11,819 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:44:11,820 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:44:11,820 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:44:11,824 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:14,285 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.babanomania.techprimer:JSPDemo:0.0.1-SNAPSHOT @ /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/pom.xml.
2016-06-03 10:44:14,861 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:14,863 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-03 10:44:14,864 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:14,865 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:44:14,866 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:44:14,866 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:44:14,870 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:43,537 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.babanomania.techprimer:JSPDemo:0.0.1-SNAPSHOT @ /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/pom.xml.
2016-06-03 10:44:44,285 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:44:44,292 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
